DepMap_ID	cell_line_name	stripped_cell_line_name	CCLE_Name	alias	COSMICID	sex	source	Achilles_n_replicates	cell_line_NNMD	culture_type	culture_medium	cas9_activity	RRID	WTSI_Master_Cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	Subtype	age	Sanger_Model_ID	depmap_public_comments	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype
ACH-001032	CHLA-32	CHLA32	CHLA32_BONE	NA	NA	Female	Children's Oncology Group	NA	NA	NA	NA	NA	CVCL_M151	NA	bone	NA	Bone Cancer	Ewings Sarcoma	8.5	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001034	CHLA-9	CHLA9	CHLA9_BONE	NA	NA	Female	Children's Oncology Group	NA	NA	NA	NA	NA	CVCL_M150	NA	bone	NA	Bone Cancer	Ewings Sarcoma	14	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001035	CHLA-99	CHLA99	CHLA99_BONE	NA	NA	Male	Children's Oncology Group	NA	NA	NA	NA	NA	CVCL_0B50	NA	bone	NA	Bone Cancer	Ewings Sarcoma	NA	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001192	SK-NEP-1	SKNEP1	SKNEP1_BONE	HTB-48	NA	Female	Academic lab	2	-3.319237123	not found	not found	56.8	CVCL_0631	NA	pleural_effusion	Metastasis	Bone Cancer	Ewings Sarcoma	NA	SIDM00027	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001193	SK-PN-DW	SKPNDW	SKPNDW_BONE	NA	909731	Male	Academic lab	2	-2.311089128	not found	not found	68.8	CVCL_1703	946	Embryonal	NA	Bone Cancer	Ewings Sarcoma	NA	SIDM01097	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001205	TC-32	TC32	TC32_BONE	NA	NA	Female	Academic lab	2	-2.061525985	not found	not found	57.7	CVCL_7151	NA	bone	NA	Bone Cancer	Ewings Sarcoma	17	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001282	CHLA258	CHLA258	CHLA258_BONE	NA	NA	Female	Children's Oncology Group	NA	NA	NA	NA	NA	CVCL_A058	NA	bone	NA	Bone Cancer	Ewings Sarcoma	NA	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-001430	TC138	TC138	TC138_BONE	NA	NA	Male	Academic lab	2	-1.676622798	not found	not found	66.7	CVCL_4Z30	NA	bone	NA	Bone Cancer	Ewings Sarcoma	NA	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000989	SNU-175	SNU175	SNU175_LARGE_INTESTINE	NA	1659928	Female	KCLB	0	-0.101953513	NA	RPMI + 10% FBS	90.8	CVCL_5031	154	abdomen	Metastasis	Colon/Colorectal Cancer	Adenocarcinoma_mucinous	56	SIDM00216	NA	colorectal	colorectal_adenocarcinoma	mucinous	MSI
ACH-000895	CL-34	CL34	CL34_LARGE_INTESTINE	NA	1290771	Female	DSMZ	NA	NA	NA	NA	NA	CVCL_1980	1005	Colon	Primary	Colon/Colorectal Cancer	Adenocarcinoma	NA	SIDM00945	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000943	RKO	RKO	RKO_LARGE_INTESTINE	NA	909698	Unknown	ATCC	3	-4.991664116	Adherent	MEM + 10% FBS	49.1	CVCL_0504	607	Colon	Primary	Colon/Colorectal Cancer	Adenocarcinoma	NA	SIDM01090	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000950	LoVo	LOVO	LOVO_LARGE_INTESTINE	NA	907790	Male	ATCC	3	-2.163584097	Adherent	F12 + 10% FBS + 2mM Glutamax + 1.5g/l Sodium bicarbonate	53.4	CVCL_0399	306	lymph_node	Metastasis	Colon/Colorectal Cancer	Adenocarcinoma	56	SIDM00839	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000957	LS 180	LS180	LS180_LARGE_INTESTINE	NA	998189	Female	ATCC	2	-2.647049754	not found	not found	53	CVCL_0397	2081	Colon	Primary	Colon/Colorectal Cancer	Adenocarcinoma	58	SIDM00680	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000958	SW48	SW48	SW48_LARGE_INTESTINE	NA	909751	Female	ATCC	2	-2.542591961	Adherent	RPMI + 10% FBS	64.2	CVCL_1724	1	Colon	Primary	Colon/Colorectal Cancer	Adenocarcinoma	82	SIDM00837	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000959	SNU-C4	SNUC4	SNUC4_LARGE_INTESTINE	NA	NA	Male	KCLB	2	-4.111999881	NA	RPMI + 10% heat inactivated FBS + 300mg/L L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate	57	CVCL_5111	NA	large_intestine	NA	Colon/Colorectal Cancer	Adenocarcinoma	35	SIDM00500	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000963	CCK-81	CCK81	CCK81_LARGE_INTESTINE	NA	1240123	Female	HSRRB	3	-1.64134996	NA	EMEM + 10% FBS	50.1	CVCL_2873	1915	large_intestine	Metastasis	Colon/Colorectal Cancer	Adenocarcinoma	NA	SIDM00487	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000967	SNU-C2A	SNUC2A	SNUC2A_LARGE_INTESTINE	NA	NA	Female	ATCC	NA	NA	NA	NA	NA	CVCL_1709	NA	large_intestine	Primary	Colon/Colorectal Cancer	Adenocarcinoma	43	SIDM00780	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000969	KM12	KM12	KM12_LARGE_INTESTINE	NA	905989	Unknown	JCRB	3	-3.234897493	Adherent	RPMI + 10% FBS	80.1	CVCL_1331	1990	large_intestine	Primary	Colon/Colorectal Cancer	Adenocarcinoma	NA	SIDM00150	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000971	HCT 116	HCT116	HCT116_LARGE_INTESTINE	NA	905936	Male	ATCC	NA	NA	NA	NA	NA	CVCL_0291	1920	large_intestine	Primary	Colon/Colorectal Cancer	Adenocarcinoma	NA	SIDM00783	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000982	GP2d	GP2D	GP2D_LARGE_INTESTINE	NA	NA	Female	ECACC	NA	NA	NA	NA	NA	CVCL_2450	NA	Colon	Primary	Colon/Colorectal Cancer	Adenocarcinoma	71	SIDM00536	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000998	CW-2	CW2	CW2_LARGE_INTESTINE	NA	910554	Female	RIKEN	0	-0.242873774	NA	RPMI + 10% FBS	56.7	CVCL_1151	1833	large_intestine	Primary	Colon/Colorectal Cancer	Adenocarcinoma	55	SIDM00282	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000999	SNU-1040	SNU1040	SNU1040_LARGE_INTESTINE	NA	1659823	Male	KCLB	0	-0.294488199	NA	RPMI + 10% FBS	43.6	CVCL_5003	2191	Colon	NA	Colon/Colorectal Cancer	Adenocarcinoma	34	SIDM00217	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-001091	HRT18	HRT18	HRT18_LARGE_INTESTINE	NA	NA	Male	NA	NA	NA	NA	NA	NA	CVCL_2514	NA	large_intestine	NA	Colon/Colorectal Cancer	Adenocarcinoma	67	SIDM00788	NA	colorectal	colorectal_adenocarcinoma	NA	MSI
ACH-000095	D341	D341	D341MED_CENTRAL_NERVOUS_SYSTEM	D341MED	NA	Male	ATCC	3	-2.739830035	NA	DMEM:F12 (1:1) + 15% FBS	95.6	CVCL_0018	NA	central_nervous_system	NA	Brain Cancer	Medulloblastoma	3.5	NA	NA	central_nervous_system	medulloblastoma	med_group_3	MYC_amp
ACH-001052	D384	D384	D384_CENTRAL_NERVOUS_SYSTEM	NA	NA	Unknown	Academic lab	NA	NA	NA	NA	NA	CVCL_1157	NA	central_nervous_system	NA	Brain Cancer	Medulloblastoma	NA	NA	NA	central_nervous_system	medulloblastoma	med_group_3	MYC_amp
ACH-001053	D425	D425	D425_CENTRAL_NERVOUS_SYSTEM	NA	NA	Unknown	Academic lab	3	-2.852908169	not found	not found	78.2	CVCL_1275	NA	central_nervous_system	NA	Brain Cancer	Medulloblastoma	NA	NA	NA	central_nervous_system	medulloblastoma	med_group_3	MYC_amp
ACH-000055	D283 Med	D283MED	D283MED_CENTRAL_NERVOUS_SYSTEM	D283	906834	Male	ATCC	3	-3.772760017	Adherent	EMEM + 10% FBS	69.3	CVCL_1155	1184	abdomen	Metastasis	Brain Cancer	Medulloblastoma	6	SIDM00888	NA	central_nervous_system	medulloblastoma	med_group_3	MYC_exp
ACH-000120	CHP-212	CHP212	CHP212_AUTONOMIC_GANGLIA	NA	906820	Male	ATCC	4	-3.016871136	Adherent	EMEM:F12 (1:1) + 10% FBS	45.2	CVCL_1125	13	central_nervous_system	NA	Neuroblastoma	NA	NA	SIDM00910	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000227	KP-N-YN	KPNYN	KPNYN_AUTONOMIC_GANGLIA	NA	907314	Male	HSRRB	3	-1.671591818	Mixed adherent and suspension	RPMI + 10% FBS	52.9	CVCL_1341	1977	lymph_node	Metastasis	Neuroblastoma	NA	2	SIDM00556	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000259	KELLY	KELLY	KELLY_AUTONOMIC_GANGLIA	NA	753618	Female	DSMZ	3	-5.160279699	NA	RPMI + 10% FBS	71.7	CVCL_2092	225	autonomic_ganglia	Primary	Neuroblastoma	NA	NA	SIDM01009	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000312	SK-N-BE(2)	SKNBE2	SKNBE2_AUTONOMIC_GANGLIA	NA	NA	Male	ATCC	4	-3.302661565	Mixed adherent and suspension	EMEM:F12 (1:1) + 10% FBS	50.9	CVCL_0528	NA	bone_marrow	Metastasis	Neuroblastoma	NA	2	SIDM00894	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000345	KP-N-RT-BM-1	KPNRTBM1	KPNRTBM1_AUTONOMIC_GANGLIA	NA	924189	Female	HSRRB	NA	NA	NA	NA	NA	CVCL_1339	852	bone_marrow	Metastasis	Neuroblastoma	NA	NA	SIDM00557	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000366	SK-N-DZ	SKNDZ	SKNDZ_AUTONOMIC_GANGLIA	NA	688086	Female	ATCC	2	-4.252933964	Adherent	DMEM + 10% FBS + NEAA	78.7	CVCL_1701	867	bone_marrow	Metastasis	Neuroblastoma	NA	2	SIDM01100	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000804	NB-1	NB1	NB1_AUTONOMIC_GANGLIA	NA	949179	Male	HSRRB	3	-2.760961406	Adherent	RPMI + 10% FBS	64.4	CVCL_1440	127	lymph_node	Metastasis	Neuroblastoma	NA	2	SIDM00578	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-001188	SH-SY5Y	SHSY5Y	SHSY5Y_AUTONOMIC_GANGLIA	NA	NA	Female	ATCC	NA	NA	NA	NA	NA	CVCL_0019	NA	bone_marrow	Metastasis	Neuroblastoma	NA	4	SIDM01236	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-001301	COGN278	COGN278	COGN278_AUTONOMIC_GANGLIA	NA	NA	Unknown	Children's Oncology Group	2	-2.539240622	not found	not found	66.9	CVCL_AX49	NA	autonomic_ganglia	NA	Neuroblastoma	NA	NA	NA	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-001303	NB1643	NB1643	NB1643_AUTONOMIC_GANGLIA	NA	NA	Male	Academic lab	2	-1.968332848	not found	not found	38.8	CVCL_5627	NA	abdomen	NA	Neuroblastoma	NA	3	NA	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-001366	NGP	NGP	NGP_AUTONOMIC_GANGLIA	NA	NA	Male	DSMZ	2	-3.23883801	Adherent	DMEM (4.5 g/L glucose) + 10% FBS	76.3	CVCL_2141	NA	lung	Metastasis	Neuroblastoma	NA	1.5	NA	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-001367	NMB	NMB	NMB_AUTONOMIC_GANGLIA	NA	NA	Unknown	DSMZ	0	-2.456174476	Adherent	DMEM (4.5 g/L glucose) + 10% FBS	40.1	CVCL_2143	NA	bone_marrow	Metastasis	Neuroblastoma	NA	1	NA	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp
ACH-000211	Daoy	DAOY	DAOY_CENTRAL_NERVOUS_SYSTEM	NA	906833	Male	ATCC	2	-4.685429432	Adherent	EMEM + 10% FBS	91.6	CVCL_1167	2150	central_nervous_system	Primary	Brain Cancer	Medulloblastoma	4	SIDM00887	NA	central_nervous_system	medulloblastoma	NA	non_MYC
ACH-000776	ONS-76	ONS76	ONS76_CENTRAL_NERVOUS_SYSTEM	NA	909248	Female	HSRRB	2	-2.743128252	NA	RPMI + 10% FBS	93.5	CVCL_1624	67	central_nervous_system	Primary	Brain Cancer	Medulloblastoma	2	SIDM00567	NA	central_nervous_system	medulloblastoma	NA	non_MYC
ACH-001743	RC2	RC2	RC2_SOFT_TISSUE	NA	NA	Unknown	Academic lab	NA	NA	NA	NA	NA	CVCL_L510	NA	soft_tissue	Metastasis	Sarcoma	Rhabdomyosarcoma_alveolar	NA	NA	NA	soft_tissue	rhabdomyosarcoma	alveolar	PAX3_FKHR
ACH-001184	SCMC-RM2	SCMCRM2	SCMCRM2_SOFT_TISSUE	NA	NA	Female	Academic lab	2	-2.869363383	Adherent	DMEM + 10% FBS	53.8	CVCL_A667	NA	bone_marrow	Metastasis	Sarcoma	Rhabdomyosarcoma	11	NA	NA	soft_tissue	rhabdomyosarcoma	NA	PAX3_FKHR
ACH-002508	WM3211	WM3211	WM3211_SKIN	NA	NA	Female	Academic lab	2	-4.297495975	Adherent	RPMI 1640 +10% FBS	43	NA	NA	lymph_node	Metastasis	Skin Cancer	Melanoma_acral	34	NA	NA	skin	melanoma	acral	NA
ACH-002510	M040416	M040416	M040416_SKIN	NA	NA	Male	Academic lab	2	-4.235266183	Adherent	RPMI 1640 +10% FBS	47	NA	NA	skin	Metastasis	Skin Cancer	Melanoma_acral	54	NA	NA	skin	melanoma	acral	NA
ACH-000100	RH-41	RH41	RH41_SOFT_TISSUE	NA	1240210	Female	DSMZ	0	-2.891009272	Adherent	RPMI + 10% FBS	75.2	CVCL_2176	2052	liver	Metastasis	Sarcoma	Rhabdomyosarcoma_alveolar	NA	SIDM00426	NA	soft_tissue	rhabdomyosarcoma	alveolar	NA
ACH-000833	RH-30	RH30	RH30_SOFT_TISSUE	NA	NA	Male	DSMZ	2	-3.363446625	Adherent	RPMI + 10% FBS	61.5	CVCL_0041	NA	bone_marrow	Metastasis	Sarcoma	Rhabdomyosarcoma_alveolar	17	NA	NA	soft_tissue	rhabdomyosarcoma	alveolar	NA
ACH-001050	CW9019	CW9019	CW9019_SOFT_TISSUE	NA	NA	Unknown	Academic lab	2	-3.57014403	Adherent	DMEM + 10% FBS	80.7	CVCL_N820	NA	soft_tissue	NA	Sarcoma	Rhabdomyosarcoma_alveolar	NA	NA	NA	soft_tissue	rhabdomyosarcoma	alveolar	NA
ACH-001740	RH28	RH28	RH28_SOFT_TISSUE	NA	NA	Male	Academic lab	3	-3.49944858	Adherent	DMEM + 10% FBS	39.2	CVCL_8752	NA	lymph_node	Metastasis	Sarcoma	Rhabdomyosarcoma_alveolar	17	NA	NA	soft_tissue	rhabdomyosarcoma	alveolar	NA
ACH-001745	RhJT	RHJT	RHJT_SOFT_TISSUE	NA	NA	Unknown	Academic lab	3	-4.10122458	Adherent	DMEM + 10% FBS	35.6	CVCL_VU81	NA	soft_tissue	NA	Sarcoma	Rhabdomyosarcoma_alveolar	NA	NA	NA	soft_tissue	rhabdomyosarcoma	alveolar	NA
ACH-001765	Rh4	RH4	RH4_SOFT_TISSUE	NA	NA	Female	Academic lab	3	-4.488409689	Adherent	DMEM + 10% FBS	72.6	CVCL_5916	NA	liver	Metastasis	Sarcoma	Rhabdomyosarcoma_alveolar	NA	NA	NA	soft_tissue	rhabdomyosarcoma	alveolar	NA
ACH-000580	C32	C32	C32_SKIN	NA	906830	Male	ATCC	2	-3.442187665	Adherent	EMEM + 10% FBS + 0.1mM NEAA	66.1	CVCL_1097	2242	skin	Primary	Skin Cancer	Melanoma_amelanotic	53	SIDM00890	NA	skin	melanoma	amelanotic	NA
ACH-000799	Hs 695T	HS695T	HS695T_SKIN	NA	NA	Male	ATCC	2	-3.063505404	Adherent	EMEM + 10% FBS	62.2	CVCL_0851	NA	lymph_node	Metastasis	Skin Cancer	Melanoma_amelanotic	26	NA	NA	skin	melanoma	amelanotic	NA
ACH-000174	CAL-62	CAL62	CAL62_THYROID	NA	906828	Female	DSMZ	2	-4.539107428	NA	DMEM + 10% FBS	92.5	CVCL_1112	1753	pleural_effusion	Primary	Thyroid Cancer	Carcinoma_anaplastic	70	SIDM00931	NA	thyroid	thyroid_carcinoma	anaplastic	NA
ACH-000903	FTC-133	FTC133	FTC133_THYROID	NA	906864	Male	ECACC	2	-4.163518757	Adherent	DMEM:F12 (1:1) + 10% FBS + 2mM Glutamine	75.1	CVCL_1219	1007	thyroid	Metastasis	Thyroid Cancer	Carcinoma_anaplastic	42	SIDM00213	NA	thyroid	thyroid_carcinoma	anaplastic	NA
ACH-001356	MB-1	MB1	MB1_THYROID	NA	NA	Male	DSMZ	1	-3.529240469	Adherent	RPMI 1640 + 20% FBS + 2 mM L-glutamine	90.7	CVCL_2109	NA	thyroid	Primary	Thyroid Cancer	Carcinoma_anaplastic	57	NA	NA	thyroid	thyroid_carcinoma	anaplastic	NA
ACH-000075	U-87 MG	U87MG	U87MG_CENTRAL_NERVOUS_SYSTEM	NA	687590	Unknown	ATCC	2	-2.31895816	Adherent	EMEM + 10% FBS	62.1	CVCL_0022	549	central_nervous_system	Primary	Brain Cancer	Astrocytoma	44	SIDM01189	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000128	LN-319	LN319	LN319_CENTRAL_NERVOUS_SYSTEM	NA	NA	Male	Academic lab	2	-3.112513657	not found	not found	68.8	CVCL_3958	NA	central_nervous_system	NA	Brain Cancer	Astrocytoma	67	NA	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000137	8-MG-BA	8MGBA	8MGBA_CENTRAL_NERVOUS_SYSTEM	NA	687562	Female	DSMZ	2	-3.712431067	Adherent	EMEM + 20% FBS	54.3	CVCL_1052	1207	central_nervous_system	Primary	Brain Cancer	Astrocytoma	54	SIDM00998	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000232	U-251 MG	U251MG	U251MG_CENTRAL_NERVOUS_SYSTEM	U251-MG	905983	Male	HSRRB	2	-4.277904553	NA	DMEM + 10% FBS	88.7	CVCL_0021	1913	central_nervous_system	Primary	Brain Cancer	Astrocytoma	NA	SIDM00111	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000437	SW 1088	SW1088	SW1088_CENTRAL_NERVOUS_SYSTEM	NA	909745	Male	ATCC	2	-4.83565394	Adherent	RPMI + 10% FBS	75.1	CVCL_1715	1310	central_nervous_system	Primary	Brain Cancer	Astrocytoma	72	SIDM01155	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000609	SF126	SF126	SF126_CENTRAL_NERVOUS_SYSTEM	NA	909712	Female	HSRRB	0	-2.688215571	NA	EMEM + 10% FBS	43.7	CVCL_1688	1677	central_nervous_system	Primary	Brain Cancer	Astrocytoma	NA	SIDM00382	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000631	KS-1	KS1	KS1_CENTRAL_NERVOUS_SYSTEM	NA	907313	Female	HSRRB	0	-1.313921513	NA	MEM + 10% FBS + 2mM Glutamax	50.4	CVCL_1343	1387	central_nervous_system	Primary	Brain Cancer	Astrocytoma	NA	SIDM00555	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-002257	KINGS-1	KINGS1	KINGS1_CENTRAL_NERVOUS_SYSTEM	NA	907279	Unknown	Sanger	NA	NA	NA	NA	NA	CVCL_1328	217	central_nervous_system	NA	Brain Cancer	Astrocytoma_anaplastic	NA	SIDM00612	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-002269	LNZTA3WT4	LNZTA3WT4	LNZTA3WT4_CENTRAL_NERVOUS_SYSTEM	NA	1240170	Unknown	Sanger	NA	NA	NA	NA	NA	CVCL_3540	1793	central_nervous_system	NA	Brain Cancer	Astrocytoma	NA	SIDM01220	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-002304	SK-MG-1	SKMG1	SKMG1_CENTRAL_NERVOUS_SYSTEM	NA	909729	Unknown	Sanger	NA	NA	NA	NA	NA	CVCL_1698	578	central_nervous_system	NA	Brain Cancer	Astrocytoma	NA	SIDM00379	NA	central_nervous_system	glioma	astrocytoma	NA
ACH-000020	MHH-CALL-2	MHHCALL2	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	908132	Female	DSMZ	NA	NA	NA	NA	NA	CVCL_1409	1906	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	15	SIDM00331	NA	blood	ALL	b_cell	NA
ACH-000032	MHH-CALL-3	MHHCALL3	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	NA	NA	NA	NA	NA	CVCL_0089	NA	bone_marrow	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	11	NA	NA	blood	ALL	b_cell	NA
ACH-000059	SUP-B15	SUPB15	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1247871	Male	ATCC	NA	NA	NA	NA	NA	CVCL_0103	786	bone_marrow	Primary	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	9	SIDM01176	NA	blood	ALL	b_cell	NA
ACH-000130	NALM-19	NALM19	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	NA	NA	NA	NA	NA	CVCL_1835	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	26	NA	NA	blood	ALL	b_cell	NA
ACH-000151	JM1	JM1	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1327768	Male	ATCC	2	-2.489597079	Suspension	IMDM + 10% FBS	67	CVCL_3532	2096	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	NA	SIDM00689	NA	blood	ALL	b_cell	NA
ACH-000156	MHH-CALL-4	MHHCALL4	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	908133	Male	DSMZ	NA	NA	NA	NA	NA	CVCL_1410	2070	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	10	SIDM00376	NA	blood	ALL	b_cell	NA
ACH-000492	MUTZ-5	MUTZ5	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	NA	NA	NA	NA	NA	CVCL_1873	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	26	NA	NA	blood	ALL	b_cell	NA
ACH-000728	KASUMI-2	KASUMI2	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	NA	NA	NA	NA	NA	CVCL_0590	NA	bone_marrow	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	15	NA	NA	blood	ALL	b_cell	NA
ACH-000782	SEM	SEM	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	2	-2.654542062	Suspension	IMDM + 10% FBS	74.6	CVCL_0095	NA	haematopoietic_and_lymphoid_tissue	Primary	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	5	NA	NA	blood	ALL	b_cell	NA
ACH-000874	RS4;11	RS411	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	909703	Female	ATCC	NA	NA	NA	NA	NA	CVCL_0093	862	bone_marrow	Primary	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	32	SIDM01086	NA	blood	ALL	b_cell	NA
