Gene	Coefficient
PKMYT1 	0.473174259 
CHRNA5 	0.292676616 
POLQ 	0.330791018 
CD68 	4.250032949 
DDX39 	0.331798817 
RRM2 	0.293807027 
CHAF1B 	0.385398925 
TMEM158 	0.371872199 
TUBB4Q 	0.423296897 
TINF2 	2.706579645 
TRIP13 	0.347862987 
MRTO4 	0.477619318 
TYMS 	0.306860622 
RECQL4 	0.428574832 
MSX1 	0.438567738 
CTSC 	0.319021588 
YPEL5 	2.053624187 
CHEK1 	0.372374773 
PPL 	5.042821577 
MSH2 	0.354612642 
LHPP 	2.246935602 
CDCA5 	0.298787966 
CRIP2 	2.145092145 
NFIL3 	2.604806284 
UHRF1 	0.227961697 
