Gene	Coefficient
FLRT3 	2.096828365 
BLM 	0.34527865 
TIGA1 	4.303485007 
ESCO2 	0.227313281 
ANLN 	0.208461603 
DLG7 	0.326482387 
NETO2 	0.252902098 
C1QTNF6 	0.467885864 
DHFR 	0.29366923 
C17orf41 	0.378696917 
C10orf119 	0.379577859 
FOXO3 	2.270554737 
LOH11CR2A 	3.883009111 
SHCBP1 	0.27257067 
CDCA3 	0.376917804 
LOC649679 	0.255523906 
FEN1 	0.206682803 
PKMYT1 	0.326059317 
CHRNA5 	0.326725378 
POLQ 	0.236022922 
CD68 	3.959001885 
DDX39 	0.429237287 
RRM2 	0.167233833 
CHAF1B 	0.301179025 
TMEM158 	0.194658041 
TUBB4Q 	0.295043254 
TINF2 	2.452682168 
TRIP13 	0.254101143 
MRTO4 	0.343540806 
TYMS 	0.390962898 
RECQL4 	0.43317599 
MSX1 	0.435636939 
CTSC 	0.373915789 
YPEL5 	3.323701875 
CHEK1 	0.386067868 
PPL 	5.927355588 
MSH2 	0.364330801 
LHPP 	1.994855038 
CDCA5 	0.474861479 
CRIP2 	7.806921586 
NFIL3 	2.88326635 
UHRF1 	0.176490453 
