Gene	Coefficient
HBP1	-1.34984374
NOX5	-1.354263981
PLCH2	3.800288876
PAM	-1.45085752
FERMT2	-1.528609157
SRPX	2.352299372
SERPINA3	-4.473576148
ANXA8L1	1.30733943
TINAGL1	1.616672794
BTG1	-1.288161079
SETD6	-1.398097376
LOC388588	-1.278262268
PRSS23	2.555394252
ANXA8L2	1.821695725
KIAA0182	-2.11686178
TMEM187	-1.496078948
CSRP2	1.790166457
LOC653778	-1.344668786
C1QTNF1	-3.688013415
TRIM4	-1.541977406
KIAA1147	-1.636538357
IMPA2	-2.540238341
TRIM2	-2.054807583
TIMP2	-1.538057288
LOC100129195	-1.932314376
ANXA8	1.453480244
TEAD2	-1.788294514
SERPINB3	-1.674368501
DENND2D	-2.287531743
SERPINB4	-1.429002126
FGFBP1	2.76723512
SERPINB1	2.128476103
SERPINB2	5.885052323
C20orf197	1.752073963
LOC440160	-1.667035063
SPHK1	2.433188876
MAMDC2	2.50351127
BGN	-2.835198452
TMEM42	-1.888477256
TMC4	-1.470520953
MMP10	3.432278474
GCHFR	-1.765713056
FAM113B	-2.311897755
TUBB2A	1.284012159
CDC42EP4	-1.435040196
HCLS1	1.870729407
PPARG	-1.822845404
LOC100133511	-1.411550184
GPRC5C	-1.968526949
RNF165	-1.709903876
LOC147645	-1.371693452
RICS	-1.40622892
SERPINB13	1.532474915
LOC441282	-1.881204625
LOC146439	-1.297907591
FLJ20273	-1.589832882
SPESP1	-1.562836965
FAM129A	2.395100713
LOC375295	2.72015814
GPNMB	-2.207912336
RNASE7	1.625552336
LOC729660	-1.318137606
HAS3	3.462510069
ARHGEF5L	3.170898835
TRQ1	1.443216324
GCNT3	-1.548351288
TMEM16A	2.020356119
METTL7A	-1.803468754
P4HTM	-1.555444082
FARP1	-1.529555082
LGALS7B	-1.685276121
CDKN2B	1.546176732
CDKN2A	2.33395794
CCL20	-3.112659951
F12	-1.777270595
WNT7A	2.659935514
NCRNA00153	1.439576626
SNCAIP	-1.837741117
PLXDC2	-2.041940252
FAM92A1	1.497154117
DCBLD2	1.458503524
TMEM156	1.587126096
FABP4	-3.308505714
NFIC	-1.307593793
NUCB1	-1.279018641
TUBB4Q	1.299965421
YPEL3	-1.580330431
KCNG1	1.382611195
CSF3	2.722458144
UBE2D4	-1.648855428
CSE1L	1.275073886
ANKRD33	-2.313401719
DEFB1	-3.701374988
IL1RAP	1.30474782
LOC642567	-2.158870697
METRNL	-1.359630068
FGF2	-2.448736747
TM7SF2	-1.473764817
NUDT11	1.395789901
LAPTM4B	-2.992605587
TUBB6	2.683939437
GRB14	-2.508639713
SLC39A8	-1.886792739
IL13RA2	3.538832943
SH2D5	1.923846642
ROS1	-1.993565361
ZNF323	-2.023608983
SLC16A4	-1.370054578
SLC16A5	-2.8869253
CSGALNACT1	-2.423624635
BNIP3L	-1.540887624
SNRPN	1.675892936
SEMA6A	-1.59860309
S100A2	1.66266044
TPM3	1.318276564
FST	5.549550235
IGFBP3	-5.383547763
SDHALP1	1.52457873
F2R	1.495579958
DIO2	-2.592894077
LOC651397	3.024830778
FRMD4A	1.607639194
PGD	-1.886689385
NCCRP1	-2.56760034
LEMD1	-2.679047843
BCMO1	-1.313723614
TPST2	1.528635601
TPST1	1.817017992
ARMCX6	2.003583352
PKP1	3.338708003
RAB38	3.553869049
S100A4	-5.199596455
XIST	-1.358759522
SQSTM1	-1.718993306
S100A9	-1.905478319
SLC27A5	-1.257813245
S100A8	-2.123368382
LY6E	-1.82717824
S100A7	-4.542076011
COL17A1	1.644574602
NOTCH3	-2.090722412
KHDRBS3	-1.415373723
GSTT1	2.19964548
TNFRSF11B	-2.541741331
GPR81	2.358271996
RAP1GAP	-1.911047637
GLB1L2	-1.408906827
SOCS2	1.874494493
SLC9A3R1	-1.400577426
GPR110	-1.434738795
TMEM22	2.527069887
UBR5	-1.345609883
ZNF428	-1.665444334
CLCA2	-1.960344811
IGFBP7	2.94378976
LOC729985	-1.53115346
TFPI2	2.303964972
CYBRD1	-2.11219803
LOC653110	1.50624156
CORO2A	1.553266565
FBXO32	-2.221361419
MARCH4	2.067808112
MGC42367	-1.449681421
MAFB	-1.966699819
BCL6	-2.942334016
ZFP64	1.257680178
PIR	-1.313487689
LCN2	-3.004292051
CNTNAP2	2.806813002
KCNK6	1.530647556
NXT1	1.307091236
PSCA	-3.693765551
ITGB2	-2.824038456
WISP3	3.216912866
LOC642489	1.443192959
PTPN20	-1.85106195
PTPN22	-1.398401608
ETFB	-1.63119034
MSLN	-5.114289264
CYR61	1.707599799
LOC645638	-3.740094582
DUSP10	1.559847256
ADAMTS1	1.57007889
PGM3	1.298008243
HMGCS2	-1.636558622
C4orf34	-1.401163896
CTNNBL1	1.524765809
ITGA2	1.302622636
TNFRSF19	2.178831855
LOC654103	-1.50543495
LOC646836	-1.513069173
ASMTL	-1.656317999
COBL	-2.349433104
LOC642477	-2.725283086
NRG1	2.395270189
ZFP90	-1.560517867
NIPSNAP1	-1.647127112
NPEPL1	-1.267046432
RRM2B	-1.357998848
PPAP2B	-1.917526265
SNURF	1.505904317
TNFRSF25	1.831164598
LCP1	-2.802537759
BCAT1	3.360753496
ST6GALNAC5	1.318445325
CEBPD	-1.302018722
SEMA3C	-1.448860963
PCOLCE2	-1.874706487
SRC	1.428541422
PARD6G	2.164527138
PPAP2C	-2.180574536
LRP3	-1.772651533
CXXC5	-3.739064038
LAGE3	-1.905226429
SPG3A	1.384808818
LOC644330	1.441884677
REPIN1	-3.852309187
KCTD20	-1.252626975
ABLIM3	-1.442076445
RAB26	-2.112079581
P2RY2	1.26597623
LOC642399	-2.253117025
WBP5	2.009338319
SLITRK6	-1.597381671
SNRPB2	1.579954267
D2HGDH	-2.009877503
SH2B3	2.044812918
CTNNAL1	1.450184365
MEST	-1.49908644
E2F7	1.420965672
UGT1A6	-1.604791954
CYB5A	-1.770860662
MARCKSL1	-3.154453556
LOC654121	1.290621122
NLGN4X	-1.545595437
ERAP2	3.016764959
ANGPT1	-1.704002957
IRX5	-2.668349793
LOC387882	1.491598288
NICN1	-1.330535531
AMFR	-1.571515997
IRX3	-1.866222064
KCNIP3	-1.88866816
P8	-2.031765083
FBXL16	-2.134504596
OXR1	-1.337180614
ASS1	-2.721770843
GSTZ1	-1.322257737
HSPBL2	-2.037595073
DBNDD1	-2.626401405
PINK1	-2.025618235
GLRB	-1.598331292
TSPAN18	1.252190749
MGP	-4.392101447
SPAG1	1.712331653
PABPC1L	1.380346417
PVRL3	1.274871548
IFITM3	3.57371513
LOC653061	-1.612769246
SPARC	2.648365537
TNFRSF6B	2.005619711
MT1X	1.36281987
IFIT1	1.890256723
ANTXR2	1.27719907
HS6ST2	-2.222159535
IFIT2	1.396914403
ZDHHC4	-2.505644004
NIPAL4	2.178550601
RPS6KA4	1.723220189
BAIAP2L2	-2.957832217
PEG10	-1.345278223
FTH1	-2.573332548
ANPEP	-3.468296578
PDK4	-2.64179794
SOX7	3.148716927
TNS3	-2.199033976
TP63	1.706080914
LOC255326	-2.366841892
ST6GAL1	-1.440625668
ENTPD3	2.156455
ARL14	-2.247605145
ACSL1	-2.875816425
IL1R2	2.432319204
SLC6A14	-1.258409818
ECH1	-2.265075048
LOC100216001	1.75805831
KRT5	2.129367431
FLJ39632	-2.538196623
AZGP1	-2.645872772
LOC645553	-2.096747915
PAPPA	-3.59477518
XRN2	2.526410023
NINJ1	-2.36078016
MT1F	1.302508235
MT1G	1.893081506
COL8A1	-2.189884315
TAGLN3	2.244207203
KCTD12	2.171146234
KDELR3	1.772862991
TRIB1	-1.264113903
RIN2	1.551350315
C12orf54	1.281208376
ZFPM1	-1.358556986
TRIB2	-1.794240495
CTXN1	-2.718492548
PTGES	-1.412956635
ECGF1	-3.172790925
CES1	-3.215318521
IL28RA	1.511287133
MAOA	2.927288135
LPAR1	2.874384602
MGST1	-1.411964019
KLK5	-2.147073269
TGFA	1.613063027
MGST2	-1.335664948
STC1	-2.077575127
LPAR3	1.449972232
EVPL	-1.310870439
ART3	-1.259498318
KLK6	-1.397995234
C19orf46	-2.804832856
CYP27B1	1.752217134
CYP4X1	-3.216043532
ZBED2	2.479937911
PRKCDBP	1.271980127
TSPAN5	1.80202806
CD14	-2.690708429
ARSD	-1.902309358
DECR2	-2.067002813
DECR1	-1.668109536
NMB	-2.523173412
APOBEC3F	1.538321654
FER1L4	-1.297183245
APOBEC3G	1.389229914
LOC283953	-1.253603896
GADD45A	2.232863426
SLC35E3	3.008624276
DDIT4L	-1.650975446
PTK6	-2.071709593
IGFL1	2.101997773
OSGIN2	-1.814394712
LOC146909	-2.841294607
VASN	-1.754517635
NET1	-1.41847074
LOC643272	2.266256491
TPX2	1.640367826
SCARNA9	-1.66950647
AKR1B10	-4.308391611
ARTN	3.103531679
RPS29	-2.119734367
ID2	-1.293024341
AKR1B15	-3.747110128
ECHDC3	-2.275119483
RPS23	1.933446964
ITM2C	-1.414034824
FKBP11	2.425743659
CLIC3	-2.720861316
ACY1	-1.358819962
CITED2	-2.314877669
IL24	2.752607822
ICA1	-2.323517789
KRT24	-2.42874229
PCSK9	1.520310918
AKR1B1	-1.78835845
PCSK5	-1.389624814
NAT14	-2.197311968
WFDC2	-2.472316722
AKAP12	2.043587486
C5orf46	-1.847097337
SLC22A18	-1.82167987
CTSH	-2.541686078
CD36	-1.325346768
HRAS	1.303748608
CTSD	-1.966367801
CTSC	1.626639088
HTATIP2	-1.935817679
VAV3	-1.369357685
FOXD1	1.418160836
SYK	1.646781762
NME3	-1.451151649
USMG5	-2.764482747
NME4	-3.078395844
LOC387825	-1.508138418
ITFG3	-1.707186202
MTSS1	1.98108995
ITFG1	-1.622024933
APRT	-1.478505671
TLR1	-1.80310601
ANO1	2.123061299
IL1A	1.818907499
CEACAM1	-1.890989472
ALDH5A1	-1.535744598
IL1B	4.396990657
NCOA7	-2.151205262
C12orf36	-1.459144294
TAGLN	-2.493895809
TMPRSS3	-1.508884728
CXCR7	-2.077539007
GDPD3	-3.553580523
NOL3	-1.276316464
CRIP1	-1.389237583
CST6	-1.564424435
TCEAL8	1.377183583
LIMA1	2.174186349
FLJ12684	-1.53119576
LOC285095	-1.500499884
EGFLAM	-2.053345611
PAK6	1.334226847
TBL1X	-1.564469169
GABRE	-1.709391072
ATP6V0E2	-2.928230107
RAE1	1.272763809
NQO1	-2.264759163
SLC31A2	1.776088675
GDF15	-1.949140072
CD70	-3.63126723
C1orf24	3.025145332
RFTN1	2.065367301
FAM46A	-3.357404331
AKR1C3	-4.017518004
AKR1C2	-3.187255392
AKR1C4	-3.843576233
PDZK1IP1	-2.822182208
FKBP1A	1.372331758
FAP	-1.524304092
AXL	2.163404981
FAM195A	-1.300933798
CCNG2	-1.389701923
KRT15	-2.08545049
QPCT	-3.430444837
KRT14	4.102241635
LOC649853	-1.278032144
F2RL1	2.800321003
IL17C	-1.337635497
C12orf31	1.284000158
TJP3	-1.887457788
FOXA2	3.096641898
DFNA5	1.533358534
ACAA2	-1.334865689
LOC93622	-1.494185766
ETS2	1.483704805
CELSR3	-1.54238226
HOXA10	-2.429074506
RGS2	2.57330958
CCND2	5.936469972
PLAU	2.23159802
ARHGDIB	1.430883845
HCFC1R1	-1.525739868
NRCAM	1.865339518
KRT6C	4.11433061
M160	-3.052201798
KRT6B	2.050765117
LOC441453	-1.610794137
KRT6A	2.39519918
CD97	-2.098133882
FLJ10916	-2.248200198
CARD10	1.482656121
G6PD	-1.338809868
SEPX1	-1.343854666
WNT5A	-1.495253503
DNAJB12	-1.250649214
LMTK3	-3.553987424
ARID5B	-1.828897814
EPDR1	-3.586448779
ANXA10	1.341338356
CYBA	-6.160466433
ADAM19	3.008512497
ALDH3A2	-1.316771666
PROCR	1.593786081
ALDH3A1	-4.638139745
SLFN11	2.562791427
LOX	-1.38234518
TMEM138	1.574575981
TMEM139	-1.77423809
HRASLS3	-3.704679737
UCA1	1.683252573
WDFY2	1.362819433
NUPR1	-2.385594875
RAP1BL	1.450051665
SIDT2	-1.250074108
FBN2	3.405744632
NTM	2.868449132
LPL	-2.07483237
FBLN1	-1.827820217
COX7A1	-3.872482409
SEL1L3	-1.87413307
ARHGAP22	1.742400448
EFNB1	1.350365599
DPP7	-1.454092754
GRK5	1.725694974
ALDH3B1	-2.044827302
LPXN	1.981259147
NLRP3	1.805510382
PRNP	1.3887978
AUTS2	1.466928482
KLRC2	-1.312872708
UBE2C	1.301650663
CBX2	-1.723714471
EPHX1	-2.601141791
RARRES1	-5.904726684
HMGA2	2.968392134
CHCHD10	-2.711025874
ISG15	2.174197356
ARHGAP23	2.170546412
BSPRY	-1.563444257
ISG20	1.613447626
SLC2A9	1.463495572
NR4A2	-1.4242737
C14orf147	-2.867930969
PLCXD3	-1.901111027
GCLC	-2.075791478
IL6	-2.239382704
BAMBI	-2.473101636
SHRM	-1.563874463
CAPRIN2	1.297492584
LOC392871	-2.355319639
CNTN1	1.300992509
MANSC1	-1.521166836
LOC100134265	-4.055494289
LOC650517	1.642282128
MTE	1.816999276
MXD4	-2.065115412
TNFAIP6	-1.333006203
YWHAB	1.390412132
TNFAIP2	-2.06307133
SLC2A3	1.495920102
SLC2A6	3.07711935
RERG	-1.810061137
LOC652846	1.300709049
CALB2	-4.453779449
CA2	-1.996241689
KYNU	-3.807598094
MFSD3	-1.35927999
PDE4B	-1.993564566
MFSD1	-1.755978584
CA9	-3.279812256
SFTA1P	1.546885451
HIST1H1C	-1.503748894
BCKDHA	-1.423570911
SRGN	-2.053210278
ABCC3	-3.998350143
ABCC4	1.311928908
C15orf48	-2.756968771
ABCC2	-2.610239178
MMP1	6.019470553
PDPK1	-1.331583301
MYEOV	-1.481360594
SHROOM2	1.453506788
SHROOM3	-1.831794858
MMP9	1.706180215
DCN	-2.434858123
LOC653924	-1.348562986
ACTA2	-1.380269527
LOC649679	1.501002312
CCNA1	1.264257312
TMEM2	1.682552536
TBC1D2	1.524639527
TRAPPC6A	-1.6092046
ACOX2	-1.39885213
VGF	-1.664811353
ELF3	-1.983117819
CHDH	-2.330272863
TRNP1	1.560684403
IRF6	1.913298825
FBP1	-1.752124906
PNLIPRP3	-2.476763368
TMEM45A	-1.847275714
ATP6V1B1	-2.186707606
KRT17P3	1.553809285
C20orf100	1.443145752
KRT80	-1.568788787
RBM47	-2.056746751
FTHL16	-1.949823896
CD163L1	-1.804546456
NXN	3.099610925
GOSR2	1.290099899
PON2	-1.377463142
FTHL11	-1.744378448
LAMA3	2.065053503
ETFDH	-1.43715028
RRBP1	1.363303979
TFPI	-1.337407549
CLCN3	-1.586493254
DLL1	3.411821286
THBS1	2.433293978
LOC643911	-1.787633727
CYGB	2.499610901
PTHLH	1.605965217
DLL3	1.371812781
AURKA	1.334782521
GNA15	1.753298362
MUC1	-4.504675517
RAB40B	-1.304534912
ERBB3	-1.856187741
KDELC2	-1.444338818
TMEM205	-1.274602373
RGS20	1.256060163
SPOCK1	-1.324351271
GBP2	-3.004896283
HES2	1.968774438
SNCA	2.438846985
MAPK3	-1.309473117
CMTM7	1.402138326
GALNT5	1.730967542
CHURC1	-2.407182376
LUM	-1.608912587
C3orf54	1.403175275
ARID3B	1.347689827
SOD2	-1.367426197
SGPP2	-2.615837773
HS3ST1	1.772319078
HS3ST2	2.133284012
DLK2	2.045522372
LOC651524	-1.543823381
CYP24A1	-2.527926286
PPP2R2C	-1.258680125
COL7A1	1.378738801
RGS12	1.437145114
S100P	-4.228525043
CPVL	-2.592370316
CKLF	-2.003741006
LOC392437	-2.254918238
